stars,title,appearances
Lillian Gish,The Birth of a Nation,4
Mae Marsh,The Birth of a Nation,2
Henry B. Walthall,The Birth of a Nation,1
Miriam Cooper,The Birth of a Nation,1
Lillian Gish,Intolerance,4
Robert Harron,Intolerance,1
Mae Marsh,Intolerance,2
F.A. Turner,Intolerance,1
Lillian Gish,Broken Blossoms or the Yellow Man and the Girl,4
Richard Barthelmess,Broken Blossoms or the Yellow Man and the Girl,2
Donald Crisp,Broken Blossoms or the Yellow Man and the Girl,5
Arthur Howard,Broken Blossoms or the Yellow Man and the Girl,1
Werner Krauss,The Cabinet of Dr. Caligari,1
Conrad Veidt,The Cabinet of Dr. Caligari,2
Friedrich Feher,The Cabinet of Dr. Caligari,1
Lil Dagover,The Cabinet of Dr. Caligari,1
Tore Svennberg,The Phantom Carriage,1
Astrid Holm,The Phantom Carriage,1
Max Schreck,Nosferatu,1
Alexander Granach,Nosferatu,1
Gustav von Wangenheim,Nosferatu,1
Sam Taylor,Safety Last!,1
Harold Lloyd,Safety Last!,1
Mildred Davis,Safety Last!,1
Bill Strother,Safety Last!,1
Noah Young,Safety Last!,1
Buster Keaton,Our Hospitality,13
Buster Keaton,Our Hospitality,13
Natalie Talmadge,Our Hospitality,1
Joe Keaton,Our Hospitality,2
Joe Roberts,Our Hospitality,1
Buster Keaton,Sherlock Jr.,13
Kathryn McGuire,Sherlock Jr.,2
Joe Keaton,Sherlock Jr.,2
Erwin Connelly,Sherlock Jr.,1
Gibson Gowland,Greed,1
Zasu Pitts,Greed,1
Jean Hersholt,Greed,1
Dale Fuller,Greed,1
Emil Jannings,The Last Laugh,3
Maly Delschaft,The Last Laugh,1
Max Hiller,The Last Laugh,1
Emilie Kurz,The Last Laugh,1
Buster Keaton,The Navigator,13
Buster Keaton,The Navigator,13
Kathryn McGuire,The Navigator,2
Frederick Vroom,The Navigator,1
Clarence Burton,The Navigator,1
Charles Chaplin,The Gold Rush,7
Mack Swain,The Gold Rush,1
Tom Murray,The Gold Rush,1
Henry Bergman,The Gold Rush,2
Aleksandr Antonov,Battleship Potemkin,1
Vladimir Barskiy,Battleship Potemkin,1
Grigoriy Aleksandrov,Battleship Potemkin,1
Ivan Bobrov,Battleship Potemkin,1
Buster Keaton,Seven Chances,13
Ruth Dwyer,Seven Chances,1
T. Roy Barnes,Seven Chances,1
Snitz Edwards,Seven Chances,1
Lon Chaney,The Phantom of the Opera,2
Ernst Laemmle,The Phantom of the Opera,1
Edward Sedgwick,The Phantom of the Opera,1
Lon Chaney,The Phantom of the Opera,2
Mary Philbin,The Phantom of the Opera,1
Norman Kerry,The Phantom of the Opera,1
Arthur Edmund Carewe,The Phantom of the Opera,1
Buster Keaton,The General,13
Buster Keaton,The General,13
Marion Mack,The General,1
Glen Cavender,The General,1
Jim Farley,The General,1
Emil Jannings,Faust,3
Camilla Horn,Faust,1
Frida Richard,Faust,1
George O'Brien,Sunrise,1
Janet Gaynor,Sunrise,2
Margaret Livingston,Sunrise,1
Bodil Rosing,Sunrise,1
Harry d'Abbadie d'Arrast,Wings,1
Clara Bow,Wings,1
Charles 'Buddy' Rogers,Wings,1
Richard Arlen,Wings,2
Jobyna Ralston,Wings,1
June Tripp,The Lodger: A Story of the London Fog,1
Ivor Novello,The Lodger: A Story of the London Fog,1
Marie Ault,The Lodger: A Story of the London Fog,1
Arthur Chesney,The Lodger: A Story of the London Fog,1
Al Jolson,The Jazz Singer,1
May McAvoy,The Jazz Singer,1
Warner Oland,The Jazz Singer,1
Eugenie Besserer,The Jazz Singer,1
Maria Falconetti,The Passion of Joan of Arc,1
Eugene Silvain,The Passion of Joan of Arc,1
Maurice Schutz,The Passion of Joan of Arc,2
Charles Chaplin,The Circus,7
Merna Kennedy,The Circus,1
Al Ernest Garcia,The Circus,1
Harry Crocker,The Circus,1
Buster Keaton,The Cameraman,13
Buster Keaton,The Cameraman,13
Marceline Day,The Cameraman,1
Harold Goodwin,The Cameraman,1
Sidney Bracey,The Cameraman,1
Buster Keaton,"Steamboat Bill, Jr.",13
Buster Keaton,"Steamboat Bill, Jr.",13
Tom McGuire,"Steamboat Bill, Jr.",1
Ernest Torrence,"Steamboat Bill, Jr.",1
Tom Lewis,"Steamboat Bill, Jr.",1
Louise Brooks,Pandora's Box,1
Fritz Kortner,Pandora's Box,1
Francis Lederer,Pandora's Box,1
Carl Goetz,Pandora's Box,1
Anny Ondra,Blackmail,1
John Longden,Blackmail,1
Sara Allgood,Blackmail,1
Charles Paton,Blackmail,1
Lew Ayres,All Quiet on the Western Front,2
Louis Wolheim,All Quiet on the Western Front,1
John Wray,All Quiet on the Western Front,1
Arnold Lucy,All Quiet on the Western Front,1
Emil Jannings,Der blaue Engel,3
Marlene Dietrich,Der blaue Engel,4
Kurt Gerron,Der blaue Engel,1
Rosa Valetti,Der blaue Engel,1
Groucho Marx,Animal Crackers,6
Harpo Marx,Animal Crackers,6
Chico Marx,Animal Crackers,6
The Marx Brothers,Animal Crackers,3
Gaston Modot,L'Age d'Or,1
Lya Lys,L'Age d'Or,1
Caridad de Laberdesque,L'Age d'Or,1
Max Ernst,L'Age d'Or,1
Charles Chaplin,City Lights,7
Virginia Cherrill,City Lights,1
Florence Lee,City Lights,1
Harry Myers,City Lights,1
Colin Clive,Frankenstein,2
Mae Clarke,Frankenstein,1
Boris Karloff,Frankenstein,9
John Boles,Frankenstein,1
James Cagney,The Public Enemy,8
Jean Harlow,The Public Enemy,1
Edward Woods,The Public Enemy,1
Joan Blondell,The Public Enemy,3
Fredric March,Dr. Jekyll and Mr. Hyde,7
Miriam Hopkins,Dr. Jekyll and Mr. Hyde,4
Rose Hobart,Dr. Jekyll and Mr. Hyde,1
Holmes Herbert,Dr. Jekyll and Mr. Hyde,1
Karl Freund,Dracula,1
Bela Lugosi,Dracula,7
Helen Chandler,Dracula,1
David Manners,Dracula,3
Dwight Frye,Dracula,1
Groucho Marx,Monkey Business,6
Harpo Marx,Monkey Business,6
The Marx Brothers,Monkey Business,3
Chico Marx,Monkey Business,6
Edward G. Robinson,Little Caesar,8
Douglas Fairbanks Jr.,Little Caesar,2
Glenda Farrell,Little Caesar,2
William Collier Jr.,Little Caesar,1
Paul Muni,I Am a Fugitive from a Chain Gang,2
Glenda Farrell,I Am a Fugitive from a Chain Gang,2
Helen Vinson,I Am a Fugitive from a Chain Gang,1
Noel Francis,I Am a Fugitive from a Chain Gang,1
Miriam Hopkins,Trouble in Paradise,4
Kay Francis,Trouble in Paradise,1
Herbert Marshall,Trouble in Paradise,5
Charles Ruggles,Trouble in Paradise,3
Wallace Ford,Freaks,2
Leila Hyams,Freaks,2
Olga Baclanova,Freaks,1
Roscoe Ates,Freaks,1
Richard Rosson,Scarface,1
Paul Muni,Scarface,2
Ann Dvorak,Scarface,1
Karen Morley,Scarface,1
Osgood Perkins,Scarface,1
Groucho Marx,Horse Feathers,6
Chico Marx,Horse Feathers,6
Harpo Marx,Horse Feathers,6
The Marx Brothers,Horse Feathers,3
Julian West,Vampyr,1
Maurice Schutz,Vampyr,2
Rena Mandel,Vampyr,1
Sybille Schmitz,Vampyr,1
Charles Laughton,Island of Lost Souls,8
Bela Lugosi,Island of Lost Souls,7
Richard Arlen,Island of Lost Souls,2
Leila Hyams,Island of Lost Souls,2
Greta Garbo,Grand Hotel,2
John Barrymore,Grand Hotel,1
Joan Crawford,Grand Hotel,5
Wallace Beery,Grand Hotel,1
Ernest B. Schoedsack,The Most Dangerous Game,2
Joel McCrea,The Most Dangerous Game,5
Fay Wray,The Most Dangerous Game,2
Leslie Banks,The Most Dangerous Game,2
Robert Armstrong,The Most Dangerous Game,2
Boris Karloff,The Mummy,9
Zita Johann,The Mummy,1
David Manners,The Mummy,3
Arthur Byron,The Mummy,1
Boris Karloff,The Old Dark House,9
Melvyn Douglas,The Old Dark House,9
Charles Laughton,The Old Dark House,8
Gloria Stuart,The Old Dark House,2
Bela Lugosi,White Zombie,7
Madge Bellamy,White Zombie,1
Joseph Cawthorn,White Zombie,1
Robert Frazer,White Zombie,1
Ernest B. Schoedsack,King Kong,2
Fay Wray,King Kong,2
Robert Armstrong,King Kong,2
Bruce Cabot,King Kong,2
Frank Reicher,King Kong,1
Rudolf Klein-Rogge,The Testament of Dr. Mabuse,1
Otto Wernicke,The Testament of Dr. Mabuse,1
Thomy Bourdelle,The Testament of Dr. Mabuse,1
Gustav Diessl,The Testament of Dr. Mabuse,1
Groucho Marx,Duck Soup,6
Harpo Marx,Duck Soup,6
Chico Marx,Duck Soup,6
Zeppo Marx,Duck Soup,1
Claude Rains,The Invisible Man,8
Gloria Stuart,The Invisible Man,2
William Harrigan,The Invisible Man,1
Henry Travers,The Invisible Man,3
Warner Baxter,42nd Street,1
Bebe Daniels,42nd Street,1
George Brent,42nd Street,4
Ruby Keeler,42nd Street,1
Clark Gable,It Happened One Night,5
Claudette Colbert,It Happened One Night,2
Walter Connolly,It Happened One Night,1
Roscoe Karns,It Happened One Night,1
William Powell,The Thin Man,4
Myrna Loy,The Thin Man,4
Maureen O'Sullivan,The Thin Man,1
Nat Pendleton,The Thin Man,1
Dita Parlo,L'Atalante,2
Gilles Margaritis,L'Atalante,1
Louis Lefebvre,L'Atalante,1
Boris Karloff,The Black Cat,9
Bela Lugosi,The Black Cat,7
David Manners,The Black Cat,3
Julie Bishop,The Black Cat,1
Leslie Banks,The Man Who Knew Too Much,2
Edna Best,The Man Who Knew Too Much,2
Peter Lorre,The Man Who Knew Too Much,4
Frank Vosper,The Man Who Knew Too Much,1
Boris Karloff,The Bride of Frankenstein,9
Elsa Lanchester,The Bride of Frankenstein,2
Colin Clive,The Bride of Frankenstein,2
Valerie Hobson,The Bride of Frankenstein,3
Edmund Goulding,A Night at the Opera,1
Groucho Marx,A Night at the Opera,6
Chico Marx,A Night at the Opera,6
Harpo Marx,A Night at the Opera,6
Kitty Carlisle,A Night at the Opera,1
Fred Astaire,Top Hat,7
Ginger Rogers,Top Hat,3
Edward Everett Horton,Top Hat,2
Erik Rhodes,Top Hat,1
Errol Flynn,Captain Blood,3
Olivia de Havilland,Captain Blood,5
Lionel Atwill,Captain Blood,2
Basil Rathbone,Captain Blood,7
Robert Donat,The 39 Steps,2
Madeleine Carroll,The 39 Steps,1
Lucie Mannheim,The 39 Steps,1
Godfrey Tearle,The 39 Steps,1
Charles Laughton,Mutiny on the Bounty,8
Clark Gable,Mutiny on the Bounty,5
Franchot Tone,Mutiny on the Bounty,1
Herbert Mundin,Mutiny on the Bounty,1
Charles Chaplin,Modern Times,7
Paulette Goddard,Modern Times,2
Henry Bergman,Modern Times,2
Tiny Sandford,Modern Times,1
William Powell,My Man Godfrey,4
Carole Lombard,My Man Godfrey,3
Alice Brady,My Man Godfrey,1
Gail Patrick,My Man Godfrey,2
Sylvia Sidney,Fury,2
Spencer Tracy,Fury,9
Walter Abel,Fury,1
Bruce Cabot,Fury,2
Gary Cooper,Mr. Deeds Goes to Town,9
Jean Arthur,Mr. Deeds Goes to Town,5
George Bancroft,Mr. Deeds Goes to Town,1
Lionel Stander,Mr. Deeds Goes to Town,3
William Powell,After the Thin Man,4
Myrna Loy,After the Thin Man,4
James Stewart,After the Thin Man,22
Elissa Landi,After the Thin Man,1
Leslie Howard,The Petrified Forest,1
Humphrey Bogart,The Petrified Forest,19
Bette Davis,The Petrified Forest,9
Genevieve Tobin,The Petrified Forest,1
Fred Astaire,Swing Time,7
Ginger Rogers,Swing Time,3
Victor Moore,Swing Time,1
Helen Broderick,Swing Time,1
Sylvia Sidney,Sabotage,2
Oscar Homolka,Sabotage,2
Desmond Tester,Sabotage,1
John Loder,Sabotage,1
Jean Gabin,The Grand Illusion,1
Dita Parlo,The Grand Illusion,2
Pierre Fresnay,The Grand Illusion,2
Erich von Stroheim,The Grand Illusion,2
Spencer Tracy,Captains Courageous,9
Freddie Bartholomew,Captains Courageous,1
Lionel Barrymore,Captains Courageous,4
Melvyn Douglas,Captains Courageous,9
Irene Dunne,The Awful Truth,2
Cary Grant,The Awful Truth,20
Ralph Bellamy,The Awful Truth,4
Alexander D'Arcy,The Awful Truth,1
David Hand,Snow White and the Seven Dwarfs,6
Wilfred Jackson,Snow White and the Seven Dwarfs,9
Larry Morey,Snow White and the Seven Dwarfs,1
Perce Pearce,Snow White and the Seven Dwarfs,1
Ben Sharpsteen,Snow White and the Seven Dwarfs,5
Adriana Caselotti,Snow White and the Seven Dwarfs,1
Harry Stockwell,Snow White and the Seven Dwarfs,1
Lucille La Verne,Snow White and the Seven Dwarfs,1
Roy Atwell,Snow White and the Seven Dwarfs,1
Ronald Colman,Lost Horizon,1
Jane Wyatt,Lost Horizon,1
Edward Everett Horton,Lost Horizon,2
John Howard,Lost Horizon,1
Groucho Marx,A Day at the Races,6
Chico Marx,A Day at the Races,6
Harpo Marx,A Day at the Races,6
Allan Jones,A Day at the Races,1
Jack Conway,A Star Is Born,1
Victor Fleming,A Star Is Born,1
Janet Gaynor,A Star Is Born,2
Fredric March,A Star Is Born,7
Adolphe Menjou,A Star Is Born,2
May Robson,A Star Is Born,1
Nova Pilbeam,Young and Innocent,1
Derrick De Marney,Young and Innocent,1
Percy Marmont,Young and Innocent,1
Edward Rigby,Young and Innocent,1
William Keighley,The Adventures of Robin Hood,1
Errol Flynn,The Adventures of Robin Hood,3
Olivia de Havilland,The Adventures of Robin Hood,5
Basil Rathbone,The Adventures of Robin Hood,7
Claude Rains,The Adventures of Robin Hood,8
James Cagney,Angels with Dirty Faces,8
Pat O'Brien,Angels with Dirty Faces,1
Humphrey Bogart,Angels with Dirty Faces,19
Ann Sheridan,Angels with Dirty Faces,1
Katharine Hepburn,Bringing Up Baby,11
Cary Grant,Bringing Up Baby,20
Charles Ruggles,Bringing Up Baby,3
Walter Catlett,Bringing Up Baby,1
Jean Arthur,You Can't Take It with You,5
James Stewart,You Can't Take It with You,22
Lionel Barrymore,You Can't Take It with You,4
Edward Arnold,You Can't Take It with You,3
Margaret Lockwood,The Lady Vanishes,1
Michael Redgrave,The Lady Vanishes,4
Paul Lukas,The Lady Vanishes,2
May Whitty,The Lady Vanishes,3
Katharine Hepburn,Holiday,11
Cary Grant,Holiday,20
Doris Nolan,Holiday,1
Lew Ayres,Holiday,2
Dmitriy Vasilev,Alexander Nevsky,1
Nikolay Cherkasov,Alexander Nevsky,2
Nikolai Okhlopkov,Alexander Nevsky,1
Andrei Abrikosov,Alexander Nevsky,1
Dmitriy Orlov,Alexander Nevsky,1
Bette Davis,Jezebel,9
Henry Fonda,Jezebel,19
George Brent,Jezebel,4
Margaret Lindsay,Jezebel,2
George Cukor,Gone with the Wind,3
Sam Wood,Gone with the Wind,1
Clark Gable,Gone with the Wind,5
Vivien Leigh,Gone with the Wind,3
Thomas Mitchell,Gone with the Wind,4
Barbara O'Neil,Gone with the Wind,1
George Cukor,The Wizard of Oz,3
Mervyn LeRoy,The Wizard of Oz,3
Norman Taurog,The Wizard of Oz,1
Richard Thorpe,The Wizard of Oz,2
King Vidor,The Wizard of Oz,1
Judy Garland,The Wizard of Oz,4
Frank Morgan,The Wizard of Oz,2
Ray Bolger,The Wizard of Oz,1
Bert Lahr,The Wizard of Oz,1
James Stewart,Mr. Smith Goes to Washington,22
Jean Arthur,Mr. Smith Goes to Washington,5
Claude Rains,Mr. Smith Goes to Washington,8
Edward Arnold,Mr. Smith Goes to Washington,3
Marcel Dalio,The Rules of the Game,2
Nora Gregor,The Rules of the Game,1
Paulette Dubost,The Rules of the Game,1
Sidney Franklin,"Goodbye, Mr. Chips",1
Robert Donat,"Goodbye, Mr. Chips",2
Greer Garson,"Goodbye, Mr. Chips",2
Terry Kilburn,"Goodbye, Mr. Chips",1
John Mills,"Goodbye, Mr. Chips",6
James Cagney,The Roaring Twenties,8
Humphrey Bogart,The Roaring Twenties,19
Priscilla Lane,The Roaring Twenties,3
Gladys George,The Roaring Twenties,2
John Wayne,Stagecoach,31
Claire Trevor,Stagecoach,2
Andy Devine,Stagecoach,1
John Carradine,Stagecoach,3
Charles Laughton,The Hunchback of Notre Dame,8
Maureen O'Hara,The Hunchback of Notre Dame,10
Cedric Hardwicke,The Hunchback of Notre Dame,2
Thomas Mitchell,The Hunchback of Notre Dame,4
Greta Garbo,Ninotchka,2
Melvyn Douglas,Ninotchka,9
Ina Claire,Ninotchka,1
Bela Lugosi,Ninotchka,7
Norma Shearer,The Women,1
Joan Crawford,The Women,5
Rosalind Russell,The Women,3
Mary Boland,The Women,1
Cary Grant,Only Angels Have Wings,20
Jean Arthur,Only Angels Have Wings,5
Rita Hayworth,Only Angels Have Wings,3
Richard Barthelmess,Only Angels Have Wings,2
Marlene Dietrich,Destry Rides Again,4
James Stewart,Destry Rides Again,22
Mischa Auer,Destry Rides Again,1
Charles Winninger,Destry Rides Again,1
Merle Oberon,Wuthering Heights,1
Laurence Olivier,Wuthering Heights,11
David Niven,Wuthering Heights,7
Flora Robson,Wuthering Heights,2
Basil Rathbone,The Hound of the Baskervilles,7
Nigel Bruce,The Hound of the Baskervilles,3
Richard Greene,The Hound of the Baskervilles,1
Wendy Barrie,The Hound of the Baskervilles,1
Bette Davis,Dark Victory,9
George Brent,Dark Victory,4
Humphrey Bogart,Dark Victory,19
Geraldine Fitzgerald,Dark Victory,3
Cary Grant,Gunga Din,20
Joan Fontaine,Gunga Din,4
Victor McLaglen,Gunga Din,1
Douglas Fairbanks Jr.,Gunga Din,2
Boris Karloff,Son of Frankenstein,9
Basil Rathbone,Son of Frankenstein,7
Bela Lugosi,Son of Frankenstein,7
Lionel Atwill,Son of Frankenstein,2
Maureen O'Hara,Jamaica Inn,10
Robert Newton,Jamaica Inn,3
Charles Laughton,Jamaica Inn,8
Horace Hodges,Jamaica Inn,1
Charles Chaplin,The Great Dictator,7
Paulette Goddard,The Great Dictator,2
Jack Oakie,The Great Dictator,1
Reginald Gardiner,The Great Dictator,2
Laurence Olivier,Rebecca,11
Joan Fontaine,Rebecca,4
George Sanders,Rebecca,8
Judith Anderson,Rebecca,1
Henry Fonda,The Grapes of Wrath,19
Jane Darwell,The Grapes of Wrath,1
John Carradine,The Grapes of Wrath,3
Charley Grapewin,The Grapes of Wrath,1
Margaret Sullavan,The Shop Around the Corner,1
James Stewart,The Shop Around the Corner,22
Frank Morgan,The Shop Around the Corner,2
Joseph Schildkraut,The Shop Around the Corner,2
Cary Grant,The Philadelphia Story,20
Katharine Hepburn,The Philadelphia Story,11
James Stewart,The Philadelphia Story,22
Ruth Hussey,The Philadelphia Story,2
