stars,movies,appearances
'Weird Al' Yankovic,['UHF'],1
50 Cent,"[""Get Rich or Die Tryin'"", 'Home of the Brave', 'Righteous Kill', 'Escape Plan', 'Den of Thieves']",5
A. Michael Baldwin,"['Phantasm', 'Phantasm III: Lord of the Dead']",2
A.J. Cook,"['Out Cold', 'Final Destination 2']",2
A.J. Langer,"['The People Under the Stairs', 'Escape from L.A.']",2
AJ Bowen,"[""You're Next"", 'The Sacrament', 'Synchronicity']",3
AJ Meijer,['The Laundromat'],1
AJ Michalka,['Super 8'],1
Aadhi,['Rangasthalam 1985'],1
Aahana Kumra,['Khuda Haafiz'],1
Aaliyah,"['Romeo Must Die', 'Queen of the Damned']",2
Aamir Bashir,['72 Hoorain'],1
Aamir Khan,"['Qayamat Se Qayamat Tak', 'Jo Jeeta Wohi Sikandar', 'Andaz Apna Apna', 'Rangeela', 'Ishq', 'Ghulam', 'Sarfarosh', 'Lagaan: Once Upon a Time in India', 'Dil Chahta Hai', 'Mangal Pandey', 'Rang De Basanti', 'Fanaa', 'Ghajini', '3 Idiots', 'Mumbai Diaries', 'Talaash: The Answer Lies Within', 'Dhoom 3', 'PK', 'Secret Superstar', 'Laal Singh Chaddha']",20
Aamir Naik,['Ghajini'],1
Aaran Thomas,['Hannibal Rising'],1
Aaron Abrams,"['YPF', 'Take This Waltz']",2
Aaron Ashmore,"['The Thaw', 'The Shrine']",2
Aaron Burns,"['The Green Inferno', 'Knock Knock']",2
Aaron Davis,['Fahrenheit 451'],1
Aaron Dismuke,['Fullmetal Alchemist the Movie: Conqueror of Shamballa'],1
Aaron Douglas,['The Monster'],1
Aaron Eckhart,"['In the Company of Men', 'Thursday', 'Possession', 'Paycheck', 'The Core', 'Suspect Zero', 'Thank You for Smoking', 'Conversations with Other Women', 'The Black Dahlia', 'Towelhead', 'No Reservations', 'Meet Bill', 'The Dark Knight', 'Love Happens', 'Rabbit Hole', 'The Rum Diary', 'Battle Los Angeles', 'Erased', 'Olympus Has Fallen', 'I, Frankenstein', 'Sully', 'Bleed for This', 'London Has Fallen', 'Incarnate']",24
Aaron Glenane,"['Danger Close', '2067']",2
Aaron Hilmer,['All Quiet on the Western Front'],1
Aaron Moorhead,"['Resolution', 'Spring', 'The Endless', 'The Endless', 'Synchronic']",5
Aaron Paul,"['Smashed', 'Need for Speed', 'A Long Way Down', 'Eye in the Sky', 'Fathers & Daughters', 'Kingsglaive: Final Fantasy XV', 'Triple 9', 'The 9th Life of Louis Drax', 'El Camino: A Breaking Bad Movie', 'Dual']",10
Aaron Poole,"['The Conspiracy', 'The Void']",2
Aaron Ruell,['Napoleon Dynamite'],1
Aaron Schwartz,['Heavyweights'],1
Aaron Taylor-Johnson,"['Shanghai Knights', 'Angus, Thongs and Perfect Snogging', 'Nowhere Boy', 'Kick-Ass', 'Albert Nobbs', 'Anna Karenina', 'Savages', 'Kick-Ass 2', 'Godzilla', 'Nocturnal Animals', 'The Wall', 'Bullet Train']",12
Aaron Tveit,['Howl'],1
Aaron Yoo,"['21', ""Nick and Norah's Infinite Playlist"", 'Kid Cannabis']",3
Aasif Mandvi,"['The Internship', 'Million Dollar Arm']",2
Aavi Haas,['Dog'],1
Aayush Sharma,['Antim: The Final Truth'],1
